"Date","Price","Open","High","Low","Vol.","Change %"
"03/04/2013","1,052.22","1,065.40","1,068.90","1,047.47","3.35B","-1.22%"
"03/01/2013","1,065.21","1,061.91","1,067.28","1,056.15","3.80B","0.38%"
"02/28/2013","1,061.16","1,047.44","1,061.25","1,045.35","4.54B","1.93%"
"02/27/2013","1,041.07","1,030.35","1,042.37","1,030.16","4.28B","1.36%"
"02/26/2013","1,027.12","1,032.28","1,032.35","1,022.01","3.67B","-0.80%"
"02/25/2013","1,035.44","1,026.28","1,035.44","1,024.08","4.12B","1.18%"
"02/22/2013","1,023.37","1,017.73","1,023.37","1,016.50","5.11B","0.48%"
"02/21/2013","1,018.49","1,015.47","1,024.02","1,014.65","4.66B","-0.08%"
"02/20/2013","1,019.27","1,016.11","1,019.27","1,013.91","5.29B","0.60%"
"02/19/2013","1,013.23","1,015.79","1,017.62","1,008.06","9.32B","-0.29%"
"02/18/2013","1,016.22","1,016.81","1,021.47","1,014.02","3.68B","-0.02%"
"02/15/2013","1,016.43","1,012.01","1,018.43","1,011.32","4.96B","0.44%"
"02/14/2013","1,012.01","1,009.99","1,015.44","1,008.93","6.06B","0.41%"
"02/13/2013","1,007.83","1,002.68","1,011.72","1,002.16","3.21B","0.64%"
"02/12/2013","1,001.39","991.12","1,002.01","990.41","2.19B","1.10%"
"02/11/2013","990.49","991.78","993.74","988.82","1.46B","0.25%"
"02/08/2013","988.05","994.09","996.98","987.19","1.96B","-0.23%"
"02/07/2013","990.33","990.92","994.07","988.02","2.47B","0.00%"
"02/06/2013","990.32","989.56","992.90","986.52","3.12B","0.49%"
"02/05/2013","985.53","983.24","988.34","980.09","3.23B","-0.26%"
"02/04/2013","988.08","990.70","995.48","982.83","2.12B","0.19%"
"02/01/2013","986.16","980.97","996.27","980.63","2.70B","0.67%"
"01/31/2013","979.62","978.04","980.66","973.79","3.46B","0.08%"
"01/30/2013","978.86","976.52","979.54","973.50","2.68B","0.41%"
"01/29/2013","974.87","974.40","976.21","971.78","2.17B","0.46%"
"01/28/2013","970.37","974.76","976.15","961.90","1.70B","-0.46%"
"01/25/2013","974.81","972.42","975.82","968.40","2.87B","0.47%"
"01/23/2013","970.29","973.26","977.22","962.84","2.06B","-0.06%"
"01/22/2013","970.84","973.21","976.72","966.63","2.08B","-0.61%"
"01/21/2013","976.81","984.32","986.26","974.23","1.92B","-0.82%"
"01/18/2013","984.88","969.99","984.88","969.05","2.36B","1.80%"
"01/17/2013","967.51","971.07","974.69","965.81","1.55B","-0.48%"
"01/16/2013","972.14","968.79","972.14","965.97","2.91B","0.22%"
"01/15/2013","969.97","966.93","969.97","962.43","1.91B","0.48%"
"01/14/2013","965.29","949.76","965.29","947.35","3.36B","2.12%"
"01/11/2013","945.25","951.16","955.82","945.06","2.11B","-0.39%"
"01/10/2013","948.97","962.78","964.58","944.41","2.18B","-1.27%"
"01/09/2013","961.16","972.25","973.74","958.28","3.16B","-0.95%"
"01/08/2013","970.36","968.81","973.98","966.09","3.41B","0.23%"
"01/07/2013","968.15","971.07","977.18","967.50","2.78B","-0.37%"
"01/04/2013","971.70","970.90","974.15","966.44","2.81B","0.30%"
"01/03/2013","968.76","957.78","970.25","957.78","3.19B","1.44%"
"01/02/2013","955.02","947.90","959.95","945.99","2.37B","0.92%"
"12/28/2012","946.27","945.69","950.32","943.15","1.80B","0.57%"
"12/27/2012","940.94","941.13","944.01","937.78","1.37B","0.01%"
"12/26/2012","940.88","936.06","940.88","933.65","1.14B","0.56%"
"12/21/2012","935.61","935.79","942.23","932.16","1.78B","-0.08%"
